,FullAddress,long,lat
0,Albrechtstr. 020 10117 Berlin,13.3842655,52.5225026
1,An der Kolonnade 003-5 10117 Berlin,13.381979,52.5118233
2,Anklamer Str. 038 10115 Berlin,13.3993153,52.5351256
3,Fehrbelliner Str. 080 10119 Berlin,13.4055506,52.5325852
4,Fischerinsel 008 10179 Berlin,13.4056205,52.5123051
5,Französische Str. 016 10117 Berlin,13.3880777,52.5146927
6,Ziegelstr. 004- 9 10117 Berlin,13.3893024,52.5233567
7,Friedrichstr. 129F 10117 Berlin,13.3844,52.52572
8,Gartenstr. 107 10115 Berlin,13.3920976,52.5295585
9,Habersaathstr. 013 10115 Berlin,13.3748826,52.5313498
10,Lichtenberger Str. 032-33 10179 Berlin,13.4254132,52.51493079999999
11,Jerusalemer Str. 010 10117 Berlin,13.3969984,52.5118865
12,Kleine Auguststr. 011-10 10119 Berlin,13.3989405,52.5281289
13,Max-Beer-Str. 024-26 10119 Berlin,13.4088672,52.5260997
14,Mollstr. 007A 10178 Berlin,13.4210684,52.5237713
15,Leipziger Str. 047 10117 Berlin,13.3976202,52.5100436
16,Rheinsberger Str. 034- 35 10435 Berlin,13.4040842,52.5389342
17,Rückerstr. 002 10119 Berlin,13.4058114,52.530741
18,Schmidstr. 002 10179 Berlin,13.4190768,52.5082674
19,Sebastianstr. 022 10179 Berlin,13.4095579,52.50760469999999
20,Sebastianstr. 023 10179 Berlin,13.4095146,52.50766059999999
21,Veteranenstr. 010 10119 Berlin,13.4015198,52.5332046
22,Weydemeyerstr. 020/21 10178 Berlin,13.4266535,52.5206001
23,Kastanienallee 063A 10119 Berlin,13.4060907,52.5343921
24,Elisabethkirchstr. 021 10115 Berlin,13.3963297,52.5335085
25,Griebenowstr. 016 10435 Berlin,13.4048387,52.5355305
26,Große Hamburger Str. 028 10115 Berlin,13.3991541,52.5248111
27,Mohrenstr. 007 10117 Berlin,13.3870991,52.51197089999999
28,Habersaathstr. 005 10115 Berlin,13.3742577,52.53062980000001
29,Eichendorffstr. 017 10115 Berlin,13.3875041,52.530188
30,Wolliner Str. 060 10435 Berlin,13.4033495,52.53749819999999
31,Fürstenberger Str. 004 10435 Berlin,13.404722,52.537294
32,Strelitzer Str. 071 10115 Berlin,13.3963202,52.5341499
33,Krausnickstr. 003A 10115 Berlin,13.396341,52.5249156
34,Anklamer Str. 046 10115 Berlin,13.3970445,52.5347445
35,Anklamer Str. 029(Seitenflügel/Quergebäude) 10115 Berlin,13.4006676,52.5362374
36,Voßstr. 012 10117 Berlin,13.3800721,52.5109882
37,Zionskirchstr. 049 10119 Berlin,13.4061653,52.5339154
38,Krausnickstr. 011 10115 Berlin,13.3983868,52.5254069
39,Leipziger Str. 041 10117 Berlin,13.3942781,52.509821
40,Anklamer Str. 029 10115 Berlin,13.4006676,52.5362374
41,Linienstr. 122-124 10115 Berlin,13.3900456,52.52678119999999
42,Brunnenstr. 033 10115 Berlin,13.3978969,52.5353217
43,Reinhardtstr. 031 10117 Berlin,13.3809107,52.5226142
44,Torstr. 134 10119 Berlin,13.3998572,52.5292843
45,Glinkastr. 024 10117 Berlin,13.3866667,52.5131226
46,Brunnenstr. 030 10119 Berlin,13.3981698,52.5345799
47,Anklamer Str. 022 10115 Berlin,13.4002692,52.5355821
48,Adalbertstr. 024 10179 Berlin,13.4223843,52.5056544
49,Borsigstr. 032/34 10115 Berlin,13.390609,52.5287381
50,Garnisonkirchplatz 002 10178 Berlin,13.4020009,52.5217675
51,Wilhelmstr. 050 10117 Berlin,13.3828266,52.5125979
52,Köpenicker Str. 045 10179 Berlin,13.4244171,52.5088875
53,Invalidenstr. 130 10115 Berlin,13.3889664,52.5315314
54,Wilhelmstr. 054 10117 Berlin,13.3822779,52.51364179999999
55,Garnisonkirchplatz 002 10178 Berlin,13.4020009,52.5217675
56,Ziegelstr. 027 10117 Berlin,13.3911422,52.5236573
57,Rheinsberger Str. 056 10115 Berlin,13.3973202,52.5370596
58,Chausseestr. 050B 10115 Berlin,13.3775042,52.5354267
59,Fehrbelliner Str. 051 10119 Berlin,13.4013381,52.5343649
60,Wilhelmine-Gemberg-Weg 010 10179 Berlin,13.4241602,52.5105258
61,Ackerstr. 003 10115 Berlin,13.3973113,52.5299035
62,Steinstr. 027 10119 Berlin,13.4050551,52.5269768
63,Kapelle-Ufer 002 10117 Berlin,13.3737607,52.5233995
64,Ziegelstr. 005- 7 10117 Berlin,13.3888965,52.5234491
65,Mohrenstr. 011 10117 Berlin,13.3880643,52.5120294
66,Wadzeckstr. 004 10178 Berlin,13.4158916,52.5253238
67,Jacobystr. 004 10179 Berlin,13.4188876,52.51984299999999
68,Brunnenstr. 033 10115 Berlin,13.3978969,52.5353217
69,Wilhelmstr. 088 10117 Berlin,13.3824796,52.5132571
70,Bergstr. 079 10115 Berlin,13.3950617,52.5302777
71,Invalidenstr. 103a 10115 Berlin,13.381206,52.5294746
72,Chausseestr. 084 10115 Berlin,13.3735265,52.5378923
