,Betreuungsbezirk Nr,Betreuungsbezirk,Einrichtungsnummer,Einrichtungsname,Einrichtungsadresse,PLZ,Telefon,Plätze,Einrichtungsart,Trägernummer,Trägername,Trägerart,FullAddress,Unnamed: 0,long,lat
0,01,Mitte,1010010,Kita F.A.I.R.play,Albrechtstr. 020,10117,281 64 73,69.0,Kindertagesstätte,1224.0,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Sonstiger freier Träger,Albrechtstr. 020 10117 Berlin,0,13.3842655,52.5225026
1,01,Mitte,1010020,Kita Kinderwelt,An der Kolonnade 003-5,10117,2291378,155.0,Kindertagesstätte,1334.0,Forum Soziale Dienste GmbH,Sonstiger freier Träger,An der Kolonnade 003-5 10117 Berlin,1,13.381979,52.5118233
2,01,Mitte,1010030,FRÖBEL Kindergarten Casa Fantasia,Anklamer Str. 038,10115,030 48495184,69.0,Kindertagesstätte,1227.0,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,Anklamer Str. 038 10115 Berlin,2,13.3993153,52.5351256
3,01,Mitte,1010080,Kita Regenbogen,Fehrbelliner Str. 080,10119,449 32 38,91.0,Kindertagesstätte,1202.0,Pfefferwerk Stadtkultur gGmbH,Sonstiger freier Träger,Fehrbelliner Str. 080 10119 Berlin,3,13.4055506,52.5325852
4,01,Mitte,1010100,"FRÖBEL Kindergarten ""Schatzinsel""",Fischerinsel 008,10179,030 2013788,234.0,Kindertagesstätte,1227.0,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,Fischerinsel 008 10179 Berlin,4,13.4056205,52.5123051
5,01,Mitte,1010110,Kita Französische Str. 16a u. 16b,Französische Str. 016,10117,208 92 14,180.0,Kindertagesstätte,1318.0,Kinder im Kiez gGmbH,Sonstiger freier Träger,Französische Str. 016 10117 Berlin,5,13.3880777,52.5146927
6,01,Mitte,1010120,der Kinderladen Die Humbolde,Ziegelstr. 004- 9,10117,209346651,25.0,Kindertagesstätte,102.0,Humboldt Universität zu Berlin,Betriebskita,Ziegelstr. 004- 9 10117 Berlin,6,13.3893024,52.5233567
7,01,Mitte,1010130,Kita Pelikan,Friedrichstr. 129F,10117,2824385,190.0,Kindertagesstätte,1339.0,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,Sonstiger freier Träger,Friedrichstr. 129F 10117 Berlin,7,13.3844,52.52572
8,01,Mitte,1010150,Kita Gartenstr. 107/Kigä City,Gartenstr. 107,10115,2828337,140.0,Kindertagesstätte,120.0,Kindergärten City,Eigenbetrieb,Gartenstr. 107 10115 Berlin,8,13.3920976,52.5295585
9,01,Mitte,1010170,Kita Kinderakademie,Habersaathstr. 013,10115,2824496,150.0,Kindertagesstätte,1224.0,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Sonstiger freier Träger,Habersaathstr. 013 10115 Berlin,9,13.3748826,52.5313498
10,01,Mitte,1010180,Lichtenberger Straße 32/33,Lichtenberger Str. 032-33,10179,2492179,190.0,Kindertagesstätte,120.0,Kindergärten City,Eigenbetrieb,Lichtenberger Str. 032-33 10179 Berlin,10,13.4254132,52.51493079999999
11,01,Mitte,1010200,Kita Jerusalemer Str. 10/12/Kigä City,Jerusalemer Str. 010,10117,20216803,185.0,Kindertagesstätte,120.0,Kindergärten City,Eigenbetrieb,Jerusalemer Str. 010 10117 Berlin,11,13.3969984,52.5118865
12,01,Mitte,1010210,Kita Kleine Auguststr. 10/11Kigä City,Kleine Auguststr. 011-10,10119,2826045,220.0,Kindertagesstätte,120.0,Kindergärten City,Eigenbetrieb,Kleine Auguststr. 011-10 10119 Berlin,12,13.3989405,52.5281289
13,01,Mitte,1010250,Kita Max-Beer-Str. 24/26/Kigä City,Max-Beer-Str. 024-26,10119,2476849,200.0,Kindertagesstätte,120.0,Kindergärten City,Eigenbetrieb,Max-Beer-Str. 024-26 10119 Berlin,13,13.4088672,52.5260997
14,01,Mitte,1010280,"FRÖBEL Kindergarten ""Traumzauberbaum""",Mollstr. 007A,10178,030 2419156,240.0,Kindertagesstätte,1227.0,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,Mollstr. 007A 10178 Berlin,14,13.4210684,52.5237713
15,01,Mitte,1010330,Kita Umka,Leipziger Str. 047,10117,83176995,65.0,Kindertagesstätte,8368.0,MITRA bilinguale Kindergärten gemeinnützige GmbH,Sonstiger freier Träger,Leipziger Str. 047 10117 Berlin,15,13.3976202,52.5100436
16,01,Mitte,1010360,Kita Rheinsberger Str. 34/35,Rheinsberger Str. 034- 35,10435,449 34 59,103.0,Kindertagesstätte,1318.0,Kinder im Kiez gGmbH,Sonstiger freier Träger,Rheinsberger Str. 034- 35 10435 Berlin,16,13.4040842,52.5389342
17,01,Mitte,1010390,Kita Pfiffikus,Rückerstr. 002,10119,283057224,150.0,Kindertagesstätte,1205.0,BIK e.V. Berliner Institut für Kleinkindpädagogik und familienbegleitende Kinderbetreuung,Sonstiger freier Träger,Rückerstr. 002 10119 Berlin,17,13.4058114,52.530741
18,01,Mitte,1010410,Kita Trauminsel,Schmidstr. 002,10179,2794009,90.0,Kindertagesstätte,1334.0,Forum Soziale Dienste GmbH,Sonstiger freier Träger,Schmidstr. 002 10179 Berlin,18,13.4190768,52.5082674
19,01,Mitte,1010450,Kita Villa Murkelmaier,Sebastianstr. 022,10179,2792668,94.0,Kindertagesstätte,1224.0,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Sonstiger freier Träger,Sebastianstr. 022 10179 Berlin,19,13.4095579,52.50760469999999
20,01,Mitte,1010460,Kita Pusteblume,Sebastianstr. 023,10179,279 22 10,86.0,Kindertagesstätte,1224.0,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Sonstiger freier Träger,Sebastianstr. 023 10179 Berlin,20,13.4095146,52.50766059999999
21,01,Mitte,1010470,Kita Veteranenstr. 10/Kigä City,Veteranenstr. 010,10119,47378193,133.0,Kindertagesstätte,120.0,Kindergärten City,Eigenbetrieb,Veteranenstr. 010 10119 Berlin,21,13.4015198,52.5332046
22,01,Mitte,1010500,Kita Weydemeyerstr. 20/21,Weydemeyerstr. 020/21,10178,2419151,138.0,Kindertagesstätte,120.0,Kindergärten City,Eigenbetrieb,Weydemeyerstr. 020/21 10178 Berlin,22,13.4266535,52.5206001
23,01,Mitte,1010550,Kita Oase,Kastanienallee 063A,10119,443 83 661,95.0,Kindertagesstätte,1202.0,Pfefferwerk Stadtkultur gGmbH,Sonstiger freier Träger,Kastanienallee 063A 10119 Berlin,23,13.4060907,52.5343921
24,01,Mitte,1010560,Kita St. Elisabeth,Elisabethkirchstr. 021,10115,449 65 27,125.0,Kindertagesstätte,5425.0,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Diakonisches Werk,Elisabethkirchstr. 021 10115 Berlin,24,13.3963297,52.5335085
